팀,선수,WAR,연봉등급,pid,연도
KT 위즈,이승언,-,E,16036,2025
KT 위즈,김민석,0.00,E,16035,2025
KT 위즈,이승현,-,E,16034,2025
KT 위즈,박태완,-,E,16033,2025
KT 위즈,신호준,-,E,16031,2025
KT 위즈,장민호,-,E,16386,2025
KT 위즈,정운교,-,E,16387,2025
삼성 라이온즈,구자욱,1.81,A,10892,2025
삼성 라이온즈,레예스,1.12,B,15861,2025
삼성 라이온즈,후라도,4.40,A,15531,2025
삼성 라이온즈,오승환,-0.12,B,10367,2025
삼성 라이온즈,김재윤,-0.39,B,11489,2025
삼성 라이온즈,디아즈,3.83,B,16162,2025
삼성 라이온즈,원태인,2.93,B,14113,2025
삼성 라이온즈,류지혁,2.04,B,10894,2025
삼성 라이온즈,가라비토,0.98,B,16397,2025
삼성 라이온즈,강민호,2.28,B,10232,2025
삼성 라이온즈,백정현,1.33,B,10363,2025
삼성 라이온즈,박병호,0.85,B,10470,2025
삼성 라이온즈,김지찬,-0.14,C,14618,2025
삼성 라이온즈,김태훈,0.94,C,10871,2025
삼성 라이온즈,이승현,-0.21,C,10527,2025
삼성 라이온즈,이재현,3.59,C,15034,2025
삼성 라이온즈,최원태,1.51,C,11379,2025
삼성 라이온즈,임창민,-0.17,C,10452,2025
삼성 라이온즈,최지광,-,C,12934,2025
삼성 라이온즈,김영웅,1.34,C,15035,2025
삼성 라이온즈,이성규,0.54,C,12562,2025
삼성 라이온즈,이승현,1.64,C,14798,2025
삼성 라이온즈,김헌곤,-0.10,C,10640,2025
삼성 라이온즈,김대우,-,C,10685,2025
삼성 라이온즈,이상민,0.04,D,11169,2025
삼성 라이온즈,최성훈,-,D,10851,2025
삼성 라이온즈,전병우,0.64,D,11422,2025
삼성 라이온즈,윤정빈,-0.81,D,13161,2025
